City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
325,hovd,48.0056,91.6419,-14.94,78,100,0.74,MN,1734335494
326,beyneu,45.3167,55.2,-0.15,64,100,12.72,KZ,1734335495
327,port saint john's,-31.6229,29.5448,20.51,86,100,1.41,ZA,1734335496
328,manga,11.6636,-1.0731,22.41,17,0,4.22,BF,1734335497
329,porto franco,-6.3383,-47.3992,22.78,90,74,0.78,BR,1734335498
330,severo-yeniseyskiy,60.3725,93.0408,-6.86,87,100,5.09,RU,1734335499
331,puerto santa,-8.9906,-78.6456,17.9,93,100,2.01,PE,1734335500
332,naqadeh,36.9553,45.388,5.53,20,99,1.56,IR,1734335502
333,ebon,4.582,168.6964,28.7,75,72,7.93,MH,1734335504
334,strasshof an der nordbahn,48.3158,16.6502,9.22,77,76,0.89,AT,1734335505
335,kolonia,50.9333,6.95,10.54,90,100,5.14,DE,1734335506
336,martinsburg,39.4562,-77.9639,1.43,96,100,1.54,US,1734335507
337,touros,-5.1989,-35.4608,25.84,82,28,5.45,BR,1734335508
338,crane,31.3974,-102.3501,14.43,96,10,3.02,US,1734335510
339,east wenatchee bench,47.4257,-120.2812,0.54,87,100,1.34,US,1734335511
340,veinticinco de mayo,-35.4323,-60.1727,11.66,90,0,0.89,AR,1734335512
341,santa ana de yacuma,-13.75,-65.4333,22.51,91,100,1.54,BO,1734335513
342,lazaro cardenas,17.9583,-102.2,23.51,89,95,1.87,MX,1734335514
343,novyy urengoy,66.0833,76.6333,-14.97,91,100,7.88,RU,1734335458
344,port alfred,-33.5906,26.891,21.77,75,100,0.89,ZA,1734335516
345,ngereklmadel,7.4883,134.4856,31.05,70,75,5.66,PW,1734335517
346,sao joao da barra,-21.6403,-41.0511,24.35,81,100,4.75,BR,1734335518
347,outjo,-20.1167,16.15,29.92,30,1,2.53,NA,1734335519
348,bonthe,7.5264,-12.505,25.9,86,3,1.91,SL,1734335521
349,pasuquin,18.3328,120.6177,29.97,62,20,6.17,PH,1734335522
350,rengo,-34.4167,-70.8667,13.07,71,0,0.1,CL,1734335523
351,yamada,39.4667,141.95,-0.64,59,1,0.96,JP,1734335524
352,stornoway,58.2093,-6.3865,8.38,92,75,3.09,GB,1734335525
353,loushanguan,28.1375,106.82,10.38,62,27,1.58,CN,1734335526
354,saint-georges,12.0564,-61.7485,26.82,83,20,3.09,GD,1734335527
355,piti village,13.4626,144.6933,29.49,78,40,8.75,GU,1734335528
356,argo,37.6333,22.7333,12.14,51,68,2.61,GR,1734335306
357,jacksonville,30.3322,-81.6556,16.06,96,100,3.09,US,1734335458
358,antofagasta,-23.65,-70.4,15.6,91,78,0.6,CL,1734335532
359,kiraz,38.2306,28.2044,9.61,84,100,2.38,TR,1734335533
